Date_Time,Raw_Profits,Std_Profits,Operational_costs,Total_Capex
2030-01-01T00:00:00.0,-0.0,-0.2853881278538813,0.2853881278538813,0.0
2030-01-01T00:30:00.0,-0.0,-0.5707762557077626,0.2853881278538813,0.0
2030-01-01T01:00:00.0,-0.0,-0.8561643835616439,0.2853881278538813,0.0
2030-01-01T01:30:00.0,-0.0,-1.1415525114155252,0.2853881278538813,0.0
2030-01-01T02:00:00.0,-0.0,-1.4269406392694064,0.2853881278538813,0.0
2030-01-01T02:30:00.0,-0.0,-1.7123287671232876,0.2853881278538813,0.0
2030-01-01T03:00:00.0,-0.0,-1.9977168949771689,0.2853881278538813,0.0
2030-01-01T03:30:00.0,-0.0,-2.2831050228310503,0.2853881278538813,0.0
2030-01-01T04:00:00.0,-0.0,-2.568493150684932,0.2853881278538813,0.0
2030-01-01T04:30:00.0,-0.0,-2.8538812785388132,0.2853881278538813,0.0
2030-01-01T05:00:00.0,-0.0,-3.1392694063926947,0.2853881278538813,0.0
2030-01-01T05:30:00.0,-0.0,-3.424657534246576,0.2853881278538813,0.0
2030-01-01T06:00:00.0,-0.0,-3.7100456621004576,0.2853881278538813,0.0
2030-01-01T06:30:00.0,-0.0,-3.995433789954339,0.2853881278538813,0.0
2030-01-01T07:00:00.0,-0.0,-4.28082191780822,0.2853881278538813,0.0
2030-01-01T07:30:00.0,-0.0,-4.5662100456621015,0.2853881278538813,0.0
2030-01-01T08:00:00.0,-0.0,-4.851598173515983,0.2853881278538813,0.0
2030-01-01T08:30:00.0,-0.0,-5.1369863013698644,0.2853881278538813,0.0
2030-01-01T09:00:00.0,-0.0,-5.422374429223746,0.2853881278538813,0.0
2030-01-01T09:30:00.0,-0.0,-5.707762557077627,0.2853881278538813,0.0
2030-01-01T10:00:00.0,-0.0,-5.993150684931509,0.2853881278538813,0.0
2030-01-01T10:30:00.0,-0.0,-6.27853881278539,0.2853881278538813,0.0
2030-01-01T11:00:00.0,-0.0,-6.563926940639272,0.2853881278538813,0.0
2030-01-01T11:30:00.0,-0.0,-6.849315068493153,0.2853881278538813,0.0
2030-01-01T12:00:00.0,-0.0,-7.134703196347035,0.2853881278538813,0.0
2030-01-01T12:30:00.0,-0.0,-7.420091324200916,0.2853881278538813,0.0
2030-01-01T13:00:00.0,-0.0,-7.705479452054798,0.2853881278538813,0.0
2030-01-01T13:30:00.0,-0.0,-7.990867579908679,0.2853881278538813,0.0
2030-01-01T14:00:00.0,-0.0,-8.27625570776256,0.2853881278538813,0.0
2030-01-01T14:30:00.0,-0.0,-8.561643835616442,0.2853881278538813,0.0
2030-01-01T15:00:00.0,-0.0,-8.847031963470323,0.2853881278538813,0.0
2030-01-01T15:30:00.0,-0.0,-9.132420091324205,0.2853881278538813,0.0
2030-01-01T16:00:00.0,-0.0,-9.417808219178086,0.2853881278538813,0.0
2030-01-01T16:30:00.0,-0.0,-9.703196347031968,0.2853881278538813,0.0
2030-01-01T17:00:00.0,-0.0,-9.98858447488585,0.2853881278538813,0.0
2030-01-01T17:30:00.0,-0.0,-10.27397260273973,0.2853881278538813,0.0
2030-01-01T18:00:00.0,-0.0,-10.559360730593612,0.2853881278538813,0.0
2030-01-01T18:30:00.0,-0.0,-10.844748858447494,0.2853881278538813,0.0
2030-01-01T19:00:00.0,-0.0,-11.130136986301375,0.2853881278538813,0.0
2030-01-01T19:30:00.0,-0.0,-11.415525114155257,0.2853881278538813,0.0
2030-01-01T20:00:00.0,-0.0,-11.700913242009138,0.2853881278538813,0.0
2030-01-01T20:30:00.0,-0.0,-11.98630136986302,0.2853881278538813,0.0
2030-01-01T21:00:00.0,-0.0,-12.2716894977169,0.2853881278538813,0.0
2030-01-01T21:30:00.0,-0.0,-12.557077625570782,0.2853881278538813,0.0
2030-01-01T22:00:00.0,-0.0,-12.842465753424664,0.2853881278538813,0.0
2030-01-01T22:30:00.0,-0.0,-13.127853881278545,0.2853881278538813,0.0
2030-01-01T23:00:00.0,-0.0,-13.413242009132427,0.2853881278538813,0.0
2030-01-01T23:30:00.0,-0.0,-13.698630136986308,0.2853881278538813,0.0
2030-01-02T00:00:00.0,-0.0,-13.98401826484019,0.2853881278538813,0.0
2030-01-02T00:30:00.0,-0.0,-14.269406392694071,0.2853881278538813,0.0
2030-01-02T01:00:00.0,-0.0,-14.554794520547953,0.2853881278538813,0.0
2030-01-02T01:30:00.0,-0.0,-14.840182648401834,0.2853881278538813,0.0
2030-01-02T02:00:00.0,-0.0,-15.125570776255715,0.2853881278538813,0.0
2030-01-02T02:30:00.0,-0.0,-15.410958904109597,0.2853881278538813,0.0
2030-01-02T03:00:00.0,-0.0,-15.696347031963478,0.2853881278538813,0.0
2030-01-02T03:30:00.0,-0.0,-15.98173515981736,0.2853881278538813,0.0
2030-01-02T04:00:00.0,-0.0,-16.26712328767124,0.2853881278538813,0.0
2030-01-02T04:30:00.0,-0.0,-16.55251141552512,0.2853881278538813,0.0
2030-01-02T05:00:00.0,-0.0,-16.837899543379002,0.2853881278538813,0.0
2030-01-02T05:30:00.0,-0.0,-17.123287671232884,0.2853881278538813,0.0
2030-01-02T06:00:00.0,-0.0,-17.408675799086765,0.2853881278538813,0.0
2030-01-02T06:30:00.0,-0.0,-17.694063926940647,0.2853881278538813,0.0
2030-01-02T07:00:00.0,-0.0,-17.97945205479453,0.2853881278538813,0.0
2030-01-02T07:30:00.0,-0.0,-18.26484018264841,0.2853881278538813,0.0
2030-01-02T08:00:00.0,-0.0,-18.55022831050229,0.2853881278538813,0.0
